district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,18058,17981,77,20,8,3,1,12,2
Kollam,16678,16661,17,2,3,0,0,3,0
Pathanamthitta,7575,7558,17,6,5,7,0,12,0
Idukki,2821,2815,6,1,4,1,0,5,0
Kottayam,3282,3278,4,1,1,2,0,3,0
Alappuzha,8049,8043,6,3,1,1,0,2,0
Ernakulam,4627,4590,37,7,16,5,1,22,3
Thrissur,18863,18825,38,9,8,2,0,10,2
Palakkad,20038,19986,52,10,6,0,0,6,1
Malappuram,12780,12721,59,20,13,0,0,13,2
Kozhikode,21485,21462,23,9,4,1,0,5,0
Wayanad,10031,10020,11,0,3,0,0,3,0
Kannur,10880,10782,98,18,45,3,0,48,2
Kasaragod,8963,8786,177,17,120,1,0,121,12
Total,164130,163508,622,123,237,22,2,265,24
